Tabela de observabilidade - Troianos - IAG


Iluninação da lua: 99.2 %


--------------------------------------------------------------------------------------------------------------------------------------------------------


Objeto                           |  mag  | 18:00 | 19:00 | 20:00 | 21:00 | 22:00 | 23:00 | 00:00 | 01:00 | 02:00 | 03:00 | 04:00 | 05:00 | 06:00 |
447178 (2005 RO43)               |  19.2 |  75.8 |  63.3 |  49.6 |  35.7 |       |       |       |       |       |       |       |       |       |
28978 Ixion (2001 KX76)          |  19.4 |       |       |       |       |       |       |       |  47.5 |  60.2 |  72.2 |  80.2 |  74.8 |  63.2 |
10199 Chariklo (1997 CU26)       |  19.4 |       |       |       |       |       |       |       |       |       |       |  41.3 |  54.4 |  65.6 |
523727 (2014 NW65)               |  19.4 |       |       |       |       |       |       |       |       |       |       |       |       |  37.3 |
471143 Dziewanna (2010 EK139)    |  19.5 |       |       |       |  38.9 |  48.4 |  56.7 |  62.5 |  63.7 |  59.9 |  52.5 |  43.4 |       |       |
32532 Thereus (2001 PT13)        |  19.5 |       |  45.8 |  59.2 |  70.9 |  76.0 |  69.0 |  56.8 |  43.3 |       |       |       |       |       |
661238 (2004 DA62)               |  19.6 |       |       |       |  40.7 |  49.4 |  56.6 |  60.9 |  60.8 |  56.4 |  49.1 |  40.4 |       |       |
38628 Huya (2000 EB173)          |  19.6 |       |       |       |       |       |       |  39.5 |  53.0 |  65.6 |  74.4 |  72.4 |  61.8 |  48.9 |
229762 G!kun||'homdima (2007 UK1 |  19.7 |  37.6 |       |       |       |       |       |       |       |       |       |       |       |       |
160140 (2001 DZ3)                |  19.8 |  46.6 |  60.0 |  71.8 |  76.8 |  69.2 |  56.7 |  43.2 |       |       |       |       |       |       |
145452 Ritona (2005 RN43)        |  20.0 |       |       |       |       |       |       |       |       |       |       |       |       |  38.9 |
90568 Goibniu (2004 GV9)         |  20.0 |       |       |       |       |  44.8 |  58.4 |  72.0 |  85.5 |  80.1 |  66.4 |  52.8 |  39.2 |       |
55565 Aya (2002 AW197)           |  20.1 |  61.0 |  71.9 |  74.6 |  66.3 |  53.9 |  40.4 |       |       |       |       |       |       |       |
469442 (2002 GG166)              |  20.2 |       |       |       |       |       |       |       |  38.9 |  52.0 |  65.0 |  77.2 |  82.3 |  72.1 |
95626 (2002 GZ32)                |  20.2 |       |       |       |       |       |       |       |       |  40.3 |  54.0 |  67.8 |  81.6 |  84.5 |
174567 Varda (2003 MW12)         |  20.2 |       |       |       |       |       |       |  35.1 |  48.2 |  60.0 |  68.0 |  67.8 |  59.5 |  47.7 |
208996 Achlys (2003 AZ84)        |  20.3 |  61.6 |  59.3 |  51.2 |  39.9 |       |       |       |       |       |       |       |       |       |
307261 Mani (2002 MS4)           |  20.4 |       |       |       |       |       |       |       |       |  46.1 |  58.8 |  69.1 |  72.0 |  64.8 |
20000 Varuna (2000 WR106)        |  20.4 |  40.0 |  39.6 |  35.2 |       |       |       |       |       |       |       |       |       |       |
120178 (2003 OP32)               |  20.5 |       |       |       |       |       |       |       |       |       |       |       |       |  43.9 |
308193 (2005 CB79)               |  20.6 |       |       |  37.4 |  39.2 |  37.0 |       |       |       |       |       |       |       |       |
444030 (2004 NT33)               |  20.6 |       |       |       |       |       |       |       |       |       |       |       |       |  35.5 |
278361 (2007 JJ43)               |  20.7 |       |       |       |       |       |       |  47.3 |  60.9 |  74.5 |  87.0 |  77.5 |  63.9 |  50.3 |
119951 (2002 KX14)               |  20.7 |       |       |       |       |       |       |  41.1 |  54.8 |  68.5 |  82.3 |  83.7 |  69.9 |  56.2 |
(2014 YA50)                      |  20.7 |       |       |  42.2 |  50.8 |  55.0 |  53.3 |  46.3 |  36.2 |       |       |       |       |       |
119979 (2002 WC19)               |  20.8 |  37.5 |       |       |       |       |       |       |       |       |       |       |       |       |
555632 (2014 BZ57)               |  20.8 |  67.3 |  79.6 |  79.9 |  67.6 |  53.9 |  40.0 |       |       |       |       |       |       |       |
678191 (2017 OF69)               |  20.8 |       |       |       |       |       |       |       |       |       |  38.1 |  51.2 |  62.9 |  70.3 |
55638 (2002 VE95)                |  20.8 |  54.4 |  44.2 |       |       |       |       |       |       |       |       |       |       |       |
175113 (2004 PF115)              |  20.9 |       |       |       |       |       |       |       |       |       |       |       |       |  44.2 |
501546 (2014 JJ80)               |  20.9 |       |       |       |       |       |       |       |       |       |       |       |       |  45.5 |
120132 (2003 FY128)              |  20.9 |       |       |  39.9 |  53.5 |  67.2 |  80.9 |  84.9 |  71.3 |  57.6 |  44.0 |       |       |       |
543354 (2014 AN55)               |  20.9 |  54.9 |  62.4 |  63.0 |  56.4 |  45.8 |       |       |       |       |       |       |       |       |
315530 (2008 AP129)              |  21.0 |       |  35.1 |  37.6 |  36.1 |       |       |       |       |       |       |       |       |       |
880665 (2014 WP509)              |  21.0 |  37.8 |       |       |       |       |       |       |       |       |       |       |       |       |
470308 (2007 JH43)               |  21.0 |       |       |       |       |       |  39.6 |  52.8 |  66.1 |  78.9 |  83.4 |  71.7 |  58.5 |  45.3 |
470599 (2008 OG19)               |  21.0 |       |       |       |       |       |       |       |       |       |       |  38.8 |  52.4 |  65.1 |
40314 (1999 KR16)                |  21.0 |       |       |       |       |       |  35.7 |  49.0 |  61.0 |  69.5 |  69.3 |  60.7 |  48.6 |  35.3 |
523644 (2010 VX11)               |  21.0 |  49.9 |  37.6 |       |       |       |       |       |       |       |       |       |       |       |
523671 (2013 FZ27)               |  21.1 |  50.6 |  63.6 |  73.9 |  74.5 |  64.7 |  51.9 |  38.3 |       |       |       |       |       |       |
60558 Echeclus (2000 EC98)       |  21.1 |  50.7 |  46.7 |  38.6 |       |       |       |       |       |       |       |       |       |       |
120216 (2004 EW95)               |  21.1 |       |       |       |       |  38.6 |  49.2 |  58.9 |  66.3 |  68.5 |  64.1 |  55.6 |  45.4 |       |
26375 (1999 DE9)                 |  21.2 |       |  39.7 |  53.5 |  67.1 |  78.8 |  78.6 |  66.7 |  53.1 |  39.3 |       |       |       |       |
556004 (2014 HA200)              |  21.2 |       |       |       |       |  41.6 |  55.3 |  68.1 |  77.1 |  73.6 |  62.0 |  48.7 |       |       |
(2010 EL139)                     |  21.2 |       |       |  36.9 |  48.5 |  59.6 |  69.0 |  73.2 |  68.7 |  59.3 |  48.1 |  36.6 |       |       |
(2010 FX86)                      |  21.2 |       |       |       |  40.8 |  51.4 |  60.9 |  67.5 |  68.4 |  62.8 |  53.7 |  43.3 |       |       |
471172 (2010 JC80)               |  21.2 |       |       |       |       |       |       |  48.4 |  62.0 |  75.6 |  87.5 |  76.4 |  62.8 |  49.2 |
499514 (2010 OO127)              |  21.3 |       |       |       |       |       |       |       |       |       |       |       |       |  40.6 |
523692 (2014 EZ51)               |  21.3 |       |       |       |       |  40.4 |  53.6 |  66.9 |  79.6 |  83.0 |  71.0 |  57.8 |  44.5 |       |
768325 (2015 BP519)              |  21.3 |  42.5 |       |       |       |       |       |       |       |       |       |       |       |       |
307982 (2004 PG115)              |  21.3 |       |       |       |       |       |       |       |       |       |       |       |       |  39.8 |
495613 (2015 FG345)              |  21.3 |       |       |       |  38.3 |  51.4 |  62.9 |  69.9 |  67.6 |  58.1 |  45.7 |       |       |       |
(2009 JE19)                      |  21.3 |       |       |       |       |  40.0 |  51.4 |  59.9 |  62.5 |  57.7 |  48.1 |  36.1 |       |       |
589683 (2010 RF43)               |  21.4 |       |       |       |       |       |       |       |       |       |       |       |       |  41.8 |
671467 (2014 LO28)               |  21.4 |       |       |       |       |       |       |       |       |       |       |       |  37.2 |  47.3 |
471149 (2010 FB49)               |  21.5 |       |       |       |  40.9 |  53.4 |  63.6 |  68.0 |  63.7 |  53.5 |  41.0 |       |       |       |
225088 Gonggong (2007 OR10)      |  21.5 |       |       |       |       |       |       |       |       |       |       |       |  45.3 |  58.8 |
523681 (2014 BV64)               |  21.5 |  57.4 |  68.3 |  72.6 |  66.5 |  54.9 |  41.8 |       |       |       |       |       |       |       |
559182 (2015 BZ518)              |  21.5 |       |       |       |       |  45.5 |  59.2 |  73.0 |  86.8 |  79.3 |  65.5 |  51.7 |  38.1 |       |
82075 (2000 YW134)               |  21.6 |  41.9 |  47.1 |  47.7 |  43.4 |  35.3 |       |       |       |       |       |       |       |       |
55576 Amycus (2002 GB10)         |  21.7 |       |       |       |       |       |       |       |       |       |  43.9 |  57.8 |  71.6 |  84.9 |
386723 (2009 YE7)                |  21.8 |  35.4 |       |       |       |       |       |       |       |       |       |       |       |       |
470309 (2007 JK43)               |  21.8 |       |       |       |       |       |       |       |       |  37.4 |  46.1 |  50.8 |  50.4 |  44.8 |
79360 Sila-Nunam (1997 CS29)     |  21.8 |  49.7 |  55.9 |  56.3 |  50.7 |  41.2 |       |       |       |       |       |       |       |       |
574372 (2010 JO179)              |  21.8 |       |       |       |       |       |       |  40.9 |  51.2 |  57.8 |  58.4 |  52.7 |  42.8 |       |
523705 (2014 HE200)              |  21.9 |       |       |       |       |  42.3 |  56.2 |  70.1 |  83.4 |  80.8 |  67.2 |  53.3 |  39.4 |       |
690420 (2014 FC72)               |  21.9 |       |       |       |  42.3 |  53.4 |  61.1 |  62.4 |  56.5 |  46.3 |       |       |       |       |
545293 (2011 FX62)               |  21.9 |       |       |       |       |  44.9 |  57.2 |  68.9 |  77.4 |  75.2 |  65.0 |  53.0 |  40.6 |       |
469506 (2003 FF128)              |  21.9 |       |       |       |       |       |       |  47.9 |  61.6 |  75.4 |  89.1 |  76.8 |  63.0 |  49.2 |
523713 (2014 JX80)               |  22.0 |       |       |       |       |       |       |       |  43.2 |  54.0 |  61.2 |  61.7 |  55.4 |  45.0 |
(2005 LB54)                      |  22.0 |       |       |       |       |       |       |  39.8 |  53.4 |  67.2 |  81.0 |  85.1 |  71.3 |  57.5 |
(2012 VB116)                     |  22.1 |  49.5 |  36.9 |       |       |       |       |       |       |       |       |       |       |       |
469505 (2003 FE128)              |  22.1 |       |       |       |       |       |  43.3 |  57.2 |  71.1 |  84.3 |  79.9 |  66.2 |  52.4 |  38.5 |
674118 (2015 KH162)              |  22.1 |       |       |       |       |       |  44.6 |  56.7 |  65.8 |  68.0 |  61.5 |  50.4 |  37.6 |       |
5145 Pholus (1992 AD)            |  22.1 |       |       |       |       |       |       |       |  42.4 |  56.3 |  69.8 |  80.8 |  77.2 |  64.5 |
(2001 KA77)                      |  22.1 |       |       |       |       |       |       |  35.4 |  49.3 |  63.1 |  76.5 |  83.3 |  72.4 |  58.8 |
(2007 JF45)                      |  22.1 |       |       |       |       |       |       |  40.8 |  54.6 |  67.9 |  78.4 |  76.3 |  64.5 |  51.0 |
(2014 UN225)                     |  22.2 |       |       |       |       |       |       |       |       |       |       |       |       |  35.2 |
532037 Chiminigagua (2013 FY27)  |  22.2 |  51.4 |  63.8 |  72.6 |  71.6 |  61.8 |  49.1 |  35.6 |       |       |       |       |       |       |
552033 (2013 RO98)               |  22.2 |       |       |       |       |       |       |       |       |       |       |       |       |  36.2 |
(2015 KK178)                     |  22.3 |       |       |       |       |       |       |  47.7 |  61.5 |  74.7 |  82.0 |  72.7 |  59.4 |  45.6 |
524366 (2001 XR254)              |  22.3 |  50.4 |  48.9 |  42.7 |       |       |       |       |       |       |       |       |       |       |
(2012 YF12)                      |  22.3 |  53.4 |  41.1 |       |       |       |       |       |       |       |       |       |       |       |
471325 Taowu (2011 KT19)         |  22.4 |       |       |       |       |       |       |  41.0 |  43.9 |  42.2 |  36.5 |       |       |       |
471339 (2011 ON45)               |  22.4 |  45.3 |  42.7 |  36.1 |       |       |       |       |       |       |       |       |       |       |
(2014 UY224)                     |  22.4 |  47.7 |  35.4 |       |       |       |       |       |       |       |       |       |       |       |
525462 (2005 EO304)              |  22.5 |       |       |       |  47.2 |  60.8 |  73.2 |  78.8 |  70.6 |  57.7 |  44.1 |       |       |       |
(2013 RG98)                      |  22.5 |  57.7 |  43.9 |       |       |       |       |       |       |       |       |       |       |       |
(2015 VT152)                     |  22.5 |  35.1 |       |       |       |       |       |       |       |       |       |       |       |       |
763666 (2012 HX87)               |  22.6 |       |       |       |       |  47.5 |  60.9 |  74.2 |  85.2 |  77.1 |  63.9 |  50.5 |  37.2 |       |
83982 Crantor (2002 GO9)         |  22.6 |       |       |       |       |       |       |       |       |       |       |       |  40.2 |  54.1 |
363330 (2002 PQ145)              |  22.6 |       |       |       |       |       |       |       |       |       |       |       |  44.2 |  57.6 |
(2014 SA365)                     |  22.6 |  49.6 |  36.5 |       |       |       |       |       |       |       |       |       |       |       |
88611 Teharonhiawako (2001 QT297 |  22.7 |       |       |       |       |       |       |       |       |       |       |       |       |  40.8 |
661333 (2004 PY117)              |  22.8 |       |       |       |       |       |       |       |       |       |       |       |       |  36.3 |
(2014 RS63)                      |  22.8 |       |       |       |       |       |       |       |       |       |       |       |       |  43.9 |
(2014 GE54)                      |  22.8 |       |       |       |       |  43.9 |  55.9 |  65.1 |  67.6 |  61.4 |  50.5 |  37.8 |       |       |
385199 (1999 OE4)                |  22.9 |       |       |       |       |       |       |       |       |       |       |       |       |  43.3 |
33128 (1998 BU48)                |  23.0 |       |  35.2 |  46.5 |  55.1 |  58.7 |  55.8 |  47.6 |  36.5 |       |       |       |       |       |
53311 Deucalion (1999 HU11)      |  23.0 |       |       |       |       |  44.3 |  58.2 |  72.1 |  85.5 |  79.5 |  65.7 |  51.8 |  38.0 |       |
527443 (2007 UM126)              |  23.0 |  71.3 |  57.6 |  43.7 |       |       |       |       |       |       |       |       |       |       |
612584 (2003 QX113)              |  23.0 |       |       |       |       |       |       |       |       |       |       |       |  37.7 |  51.2 |
(2014 VW37)                      |  23.0 |  39.2 |       |       |       |       |       |       |       |       |       |       |       |       |
(2005 TV189)                     |  23.1 |  58.1 |  46.2 |       |       |       |       |       |       |       |       |       |       |       |
729736 (2011 OF45)               |  23.1 |  54.6 |  64.9 |  69.2 |  64.3 |  53.7 |  41.1 |       |       |       |       |       |       |       |
591376 (2013 NL24)               |  23.1 |       |       |       |       |       |       |       |       |       |       |       |       |  39.4 |
649172 (2010 XE91)               |  23.1 |  46.2 |  35.2 |       |       |       |       |       |       |       |       |       |       |       |
65489 Ceto (2003 FX128)          |  23.1 |       |       |       |       |       |  44.6 |  56.4 |  65.0 |  66.5 |  59.9 |  48.9 |  36.2 |       |
(2016 VF1)                       |  23.2 |       |       |       |       |  43.5 |  55.1 |  63.6 |  65.3 |  59.1 |  48.4 |  35.9 |       |       |
620074 (2013 AT183)              |  23.2 |  54.8 |  54.1 |  48.0 |  38.3 |       |       |       |       |       |       |       |       |       |
(2013 RP98)                      |  23.2 |       |       |       |       |       |       |       |       |       |       |       |       |  44.4 |
527604 (2007 VL305)              |  23.2 |  36.6 |       |       |       |       |       |       |       |       |       |       |       |       |
(2006 HW122)                     |  23.3 |       |       |       |       |       |  44.6 |  58.3 |  72.1 |  85.9 |  80.1 |  66.3 |  52.5 |  38.9 |
(2014 TF86)                      |  23.3 |       |       |       |       |       |       |       |       |       |       |       |  39.6 |  51.2 |
58534 Logos (1997 CQ29)          |  23.4 |       |  37.5 |  50.6 |  62.3 |  69.8 |  68.3 |  59.0 |  46.7 |       |       |       |       |       |
472265 (2014 SR303)              |  23.4 |  45.8 |  43.6 |  37.2 |       |       |       |       |       |       |       |       |       |       |
(1999 OZ3)                       |  23.4 |       |       |       |       |       |       |       |       |       |       |       |       |  43.3 |
(2016 FX58)                      |  23.5 |  42.5 |  56.3 |  69.4 |  78.9 |  74.8 |  62.7 |  49.1 |  35.3 |       |       |       |       |       |
15810 Arawn (1994 JR1)           |  23.5 |       |       |       |       |       |       |       |       |  37.0 |  50.8 |  64.7 |  78.3 |  84.4 |
(2013 PQ37)                      |  23.5 |       |       |       |       |       |  37.9 |  48.7 |  56.3 |  58.5 |  54.1 |  45.1 |       |       |
(2014 XZ40)                      |  23.5 |  60.5 |  47.0 |       |       |       |       |       |       |       |       |       |       |       |
(2014 QF442)                     |  23.7 |       |       |       |       |       |       |       |       |       |       |       |       |  45.8 |
(2013 RQ98)                      |  23.7 |       |       |       |       |       |       |       |       |       |       |  36.0 |  47.2 |  58.0 |
534251 (2014 SW223)              |  23.8 |  40.1 |  40.7 |  37.1 |       |       |       |       |       |       |       |       |       |       |
(2014 SR350)                     |  23.8 |       |       |       |       |       |       |       |       |       |       |       |  42.7 |  55.1 |
455171 (1999 OM4)                |  23.8 |       |       |       |       |       |       |       |       |       |       |       |       |  45.9 |
667474 (2011 JX31)               |  24.1 |       |       |       |       |       |       |       |       |  46.2 |  60.1 |  74.0 |  86.8 |  77.5 |
(2014 SZ348)                     |  24.1 |  39.6 |       |       |       |       |       |       |       |       |       |       |       |       |
(2014 FC69)                      |  24.1 |       |       |  40.3 |  53.2 |  66.1 |  78.0 |  81.1 |  70.7 |  58.0 |  45.0 |       |       |       |
(2000 PY29)                      |  24.2 |       |       |       |       |       |       |       |       |       |       |       |       |  47.0 |
(2000 PC30)                      |  24.2 |       |       |       |       |       |       |       |       |       |       |       |       |  45.4 |
(2013 JQ64)                      |  24.3 |       |       |       |       |       |  48.4 |  62.3 |  76.2 |  87.2 |  75.2 |  61.4 |  47.5 |       |
(2001 QW322)                     |  24.4 |       |       |       |       |       |       |       |       |       |       |       |  44.3 |  57.9 |
654190 (2014 YY49)               |  24.4 |  66.3 |  62.7 |  53.1 |  41.0 |       |       |       |       |       |       |       |       |       |
(2015 VV1)                       |  25.1 |  48.3 |  48.3 |  43.3 |       |       |       |       |       |       |       |       |       |       |
(2013 RN30)                      |  25.1 |  61.9 |  60.3 |  52.4 |  41.3 |       |       |       |       |       |       |       |       |       |
(2013 SV99)                      |  25.5 |       |       |       |       |       |  39.4 |  52.3 |  63.7 |  70.2 |  67.3 |  57.3 |  44.8 |       |
(2014 SS303)                     |  26.2 |  47.9 |  48.4 |  43.9 |  35.7 |       |       |       |       |       |       |       |       |       |
(2014 TK34)                      |  26.8 |       |       |       |  44.2 |  55.9 |  64.3 |  65.9 |  59.5 |  48.6 |  35.9 |       |       |       |
Bernardinelli-Bernstein (C/2014  |   inf |  35.2 |       |       |       |       |       |       |       |       |       |       |       |       |
---------------------------------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+


--------------------------------------------------------------------------------------------------------------------------------------------------------


Unidades: 
Nome | RA (hh mm ss.ss), DEC (dd mm ss.s) | EL (dd.d) AZ (dd.d) | magnitude aparente | moon_dis (dd.d)


Local Time: 2026-04-30 18:00 -- UTC: 2026-04-30 21:00
447178 (2005 RO43)                 	| RA, DEC 07 46 00.49 -13 17 45.4	| EL, AZ: 75.8  308.3	| Mag: 19.2 	| moon_dis: 87.9 
527443 (2007 UM126)                	| RA, DEC 07 15 49.30 -16 58 53.9	| EL, AZ: 71.3  283.7	| Mag: 23.0 	| moon_dis: 93.8 
555632 (2014 BZ57)                 	| RA, DEC 10 02 36.77 -15 01 49.3	| EL, AZ: 67.3  75.1 	| Mag: 20.8 	| moon_dis: 55.1 
654190 (2014 YY49)                 	| RA, DEC 08 35 42.05 +01 11 37.8	| EL, AZ: 66.3  2.6  	| Mag: 24.4 	| moon_dis: 79.7 
(2013 RN30)                        	| RA, DEC 08 48 27.43 +05 21 34.2	| EL, AZ: 61.9  9.0  	| Mag: 25.1 	| moon_dis: 77.8 
208996 Achlys (2003 AZ84)          	| RA, DEC 08 42 59.30 +05 50 18.2	| EL, AZ: 61.6  6.0  	| Mag: 20.3 	| moon_dis: 79.2 
55565 Aya (2002 AW197)             	| RA, DEC 10 15 12.52 -07 33 36.5	| EL, AZ: 61.0  63.3 	| Mag: 20.1 	| moon_dis: 53.5 
(2014 XZ40)                        	| RA, DEC 06 38 12.79 -10 51 01.0	| EL, AZ: 60.5  288.6	| Mag: 23.5 	| moon_dis: 104.4
90482 Orcus (2004 DW)              	| RA, DEC 10 36 47.71 -13 20 53.2	| EL, AZ: 59.0  78.5 	| Mag: 19.1 	| moon_dis: 47.1 
(2005 TV189)                       	| RA, DEC 06 54 47.75 -00 56 47.6	| EL, AZ: 58.1  309.2	| Mag: 23.1 	| moon_dis: 103.4
(2013 RG98)                        	| RA, DEC 06 22 18.97 -12 34 06.6	| EL, AZ: 57.7  282.4	| Mag: 22.5 	| moon_dis: 107.5
523681 (2014 BV64)                 	| RA, DEC 10 25 58.64 -05 05 48.9	| EL, AZ: 57.4  62.2 	| Mag: 21.5 	| moon_dis: 51.5 
543354 (2014 AN55)                 	| RA, DEC 10 06 30.79 +03 52 51.7	| EL, AZ: 54.9  44.4 	| Mag: 20.9 	| moon_dis: 58.9 
620074 (2013 AT183)                	| RA, DEC 08 55 31.33 +12 19 08.6	| EL, AZ: 54.8  10.2 	| Mag: 23.2 	| moon_dis: 78.3 
729736 (2011 OF45)                 	| RA, DEC 10 29 48.77 -01 37 43.3	| EL, AZ: 54.6  58.3 	| Mag: 23.1 	| moon_dis: 51.6 
55638 (2002 VE95)                  	| RA, DEC 07 06 18.02 +06 19 25.4	| EL, AZ: 54.4  321.6	| Mag: 20.8 	| moon_dis: 102.6
(2012 YF12)                        	| RA, DEC 06 33 45.10 +00 16 56.1	| EL, AZ: 53.4  304.5	| Mag: 22.3 	| moon_dis: 108.8
532037 Chiminigagua (2013 FY27)    	| RA, DEC 10 56 49.21 -06 06 51.7	| EL, AZ: 51.4  70.7 	| Mag: 22.2 	| moon_dis: 43.8 
60558 Echeclus (2000 EC98)         	| RA, DEC 08 14 58.25 +16 35 35.9	| EL, AZ: 50.7  353.8	| Mag: 21.1 	| moon_dis: 88.9 
523671 (2013 FZ27)                 	| RA, DEC 11 04 52.06 -08 19 37.4	| EL, AZ: 50.6  75.3 	| Mag: 21.1 	| moon_dis: 41.3 
524366 (2001 XR254)                	| RA, DEC 08 45 30.07 +17 03 07.9	| EL, AZ: 50.4  5.3  	| Mag: 22.3 	| moon_dis: 82.1 
523644 (2010 VX11)                 	| RA, DEC 06 22 39.20 +02 20 19.1	| EL, AZ: 49.9  304.1	| Mag: 21.0 	| moon_dis: 112.1
79360 Sila-Nunam (1997 CS29)       	| RA, DEC 10 05 32.90 +10 38 57.0	| EL, AZ: 49.7  37.3 	| Mag: 21.8 	| moon_dis: 61.7 
(2014 SA365)                       	| RA, DEC 06 07 31.19 -02 11 46.1	| EL, AZ: 49.6  295.0	| Mag: 22.6 	| moon_dis: 114.4
(2012 VB116)                       	| RA, DEC 06 15 10.82 +00 39 25.4	| EL, AZ: 49.5  300.3	| Mag: 22.1 	| moon_dis: 113.4
(2015 VV1)                         	| RA, DEC 09 00 47.87 +18 37 51.4	| EL, AZ: 48.3  10.5 	| Mag: 25.1 	| moon_dis: 79.2 
21900 Orus (1999 VQ10)             	| RA, DEC 11 10 07.48 -05 08 12.1	| EL, AZ: 48.0  71.8 	| Mag: 17.4 	| moon_dis: 40.9 
(2014 SS303)                       	| RA, DEC 09 07 27.83 +18 46 54.3	| EL, AZ: 47.9  12.8 	| Mag: 26.2 	| moon_dis: 77.7 
(2014 UY224)                       	| RA, DEC 06 14 41.30 +03 21 42.9	| EL, AZ: 47.7  303.4	| Mag: 22.4 	| moon_dis: 114.3
911 Agamemnon (A919 FB)            	| RA, DEC 11 18 11.62 -06 34 26.1	| EL, AZ: 46.9  75.0 	| Mag: 15.5 	| moon_dis: 38.6 
160140 (2001 DZ3)                  	| RA, DEC 11 24 30.73 -09 19 06.4	| EL, AZ: 46.6  79.6 	| Mag: 19.8 	| moon_dis: 36.4 
649172 (2010 XE91)                 	| RA, DEC 06 31 26.14 +09 56 17.5	| EL, AZ: 46.2  314.6	| Mag: 23.1 	| moon_dis: 111.8
472265 (2014 SR303)                	| RA, DEC 08 33 13.91 +21 45 33.8	| EL, AZ: 45.8  0.6  	| Mag: 23.4 	| moon_dis: 86.3 
659 Nestor (A908 FE)               	| RA, DEC 10 41 16.38 +08 37 06.9	| EL, AZ: 45.6  49.3 	| Mag: 16.7 	| moon_dis: 52.8 
471339 (2011 ON45)                 	| RA, DEC 08 27 22.46 +22 12 24.5	| EL, AZ: 45.3  358.7	| Mag: 22.4 	| moon_dis: 87.7 
